,nro_inscripcion,sexo,nacionalidad,edad,regular,cnt_readmisiones,calidad,estado_civil,sit_lab_alumno,tipo_res_nuevo,sit_lab_padres,estudios_padres,inactividad
1331,FCEQN-5838,1,1.0,27,S,0.0,A,1.0,NC,2.0,4,5.0,3
1332,FCEQN-6025,2,1.0,25,S,2.0,A,1.0,NC,2.0,-1,1.0,4
1333,FCEQN-5930,2,1.0,25,S,2.0,P,1.0,NC,-1.0,-1,1.0,2
1334,FCEQN-6004,1,1.0,30,N,1.0,A,1.0,NC,2.0,-1,1.0,2
1335,FCEQN-6447,1,1.0,25,S,1.0,A,1.0,NC,2.0,4,3.0,3
1336,FCEQN-6178,2,1.0,27,N,1.0,P,1.0,NC,1.0,-1,1.0,2
1337,FCEQN-6179,2,1.0,27,S,2.0,A,1.0,NC,1.0,4,5.0,4
1338,FCEQN-6071,2,1.0,25,N,2.0,A,1.0,NC,-1.0,-1,1.0,6
1339,FCEQN-6051,1,1.0,26,S,1.0,A,1.0,NC,2.0,4,5.0,2
1340,FCEQN-6448,1,1.0,30,N,1.0,A,1.0,NC,2.0,3,5.0,1
1341,FCEQN-5956,2,1.0,25,S,2.0,A,1.0,NC,-1.0,-1,-1.0,3
1342,FCEQN-6159,2,1.0,25,N,1.0,P,1.0,NC,-1.0,-1,1.0,6
1343,FCEQN-6455,1,1.0,27,N,1.0,P,1.0,NC,-1.0,-1,-1.0,4
1344,FCEQN-6366,1,1.0,29,S,2.0,A,1.0,NC,1.0,4,5.0,3
1345,FCEQN-6199,1,2.0,26,S,1.0,A,1.0,NC,3.0,4,5.0,3
1346,FCEQN-6458,1,1.0,29,S,1.0,A,1.0,NC,-1.0,4,3.0,4
1347,FCEQN-6097,2,1.0,26,S,1.0,A,6.0,NC,-1.0,-1,1.0,0
1348,FCEQN-6227,2,1.0,26,N,1.0,A,1.0,NC,1.0,4,5.0,1
1349,FCEQN-6312,2,3.0,27,S,1.0,P,1.0,NC,-1.0,-1,7.0,1
1350,FCEQN-6250,2,1.0,26,N,1.0,P,1.0,NC,1.0,4,4.0,2
1351,FCEQN-6221,1,1.0,42,N,1.0,A,2.0,NC,1.0,4,3.0,4
1352,FCEQN-5933,1,1.0,27,S,1.0,A,1.0,NC,-1.0,-1,1.0,0
1353,FCEQN-5855,2,1.0,25,S,1.0,A,1.0,NC,-1.0,-1,1.0,2
1354,FCEQN-6234,2,1.0,26,S,1.0,P,1.0,NC,-1.0,-1,1.0,1
1355,FCEQN-5973,2,1.0,25,S,1.0,A,1.0,NC,-1.0,-1,-1.0,2
1356,FCEQN-6047,2,2.0,26,N,0.0,P,1.0,NC,2.0,-1,1.0,8
1357,FCEQN-6409,1,1.0,26,N,0.0,P,1.0,NC,-1.0,4,3.0,5
1358,FCEQN-5985,2,2.0,25,S,2.0,P,1.0,NC,1.0,4,5.0,2
1359,FCEQN-6339,1,1.0,27,N,2.0,P,1.0,NC,-1.0,4,5.0,6
1360,FCEQN-6464,1,1.0,28,N,0.0,A,1.0,NC,-1.0,-1,-1.0,4
1361,FCEQN-6465,1,1.0,26,S,1.0,A,1.0,NC,2.0,4,5.0,0
1362,FCEQN-6247,2,1.0,28,S,1.0,A,1.0,NC,-1.0,-1,1.0,5
1363,FCEQN-6235,2,1.0,25,S,1.0,A,1.0,NC,-1.0,-1,1.0,4
1364,FCEQN-6461,1,1.0,26,N,1.0,A,1.0,NC,-1.0,-1,-1.0,4
1365,FCEQN-6468,2,1.0,25,S,0.0,A,1.0,NC,1.0,-1,-1.0,3
1366,FCEQN-6469,2,1.0,25,S,0.0,A,1.0,NC,1.0,-1,1.0,16
1367,FCEQN-6470,1,1.0,26,N,0.0,P,1.0,NC,1.0,-1,1.0,0
1368,FCEQN-5963,2,1.0,26,S,0.0,A,1.0,NC,-1.0,-1,1.0,1
1369,FCEQN-6230,2,1.0,25,S,2.0,A,1.0,NC,-1.0,-1,5.0,1
1370,FCEQN-5736,2,1.0,28,S,2.0,P,1.0,NC,4.0,3,5.0,3
